#Projectile Motion Simulation Data
#Validation Type: With Magnus Effect
#Initial Position (m): (0, 0, 10)
#Initial Velocity (m/s): (15, 5, 15)
#Initial Spin (rad/s): (-20, -40, 20)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 4.517
#Final Position (m): (17.2285, 8.24716, 0.000772679)

Time,X,Y,Z
0.136,1.48392,0.733316,11.739
0.137,1.49156,0.738986,11.7498
0.138,1.49917,0.744659,11.7606
0.139,1.50673,0.750335,11.7714
0.14,1.51426,0.756013,11.7822
0.141,1.52175,0.761694,11.793
0.142,1.52921,0.767378,11.8037
0.143,1.53662,0.773064,11.8144
0.144,1.544,0.778753,11.825
0.145,1.55135,0.784444,11.8357
0.146,1.55865,0.790138,11.8463
0.147,1.56592,0.795834,11.8569
0.148,1.57316,0.801533,11.8675
0.149,1.58035,0.807234,11.878
0.15,1.58751,0.812937,11.8885
0.151,1.59464,0.818643,11.899
0.152,1.60172,0.824351,11.9095
0.153,1.60878,0.830062,11.9199
0.154,1.61579,0.835775,11.9304
0.155,1.62278,0.84149,11.9408
0.156,1.62972,0.847208,11.9511
0.157,1.63663,0.852927,11.9615
0.158,1.64351,0.858649,11.9718
0.159,1.65035,0.864373,11.9821
0.16,1.65716,0.870099,11.9924
0.161,1.66393,0.875828,12.0026
0.162,1.67066,0.881558,12.0129
0.163,1.67737,0.887291,12.0231
0.164,1.68403,0.893026,12.0332
0.165,1.69067,0.898763,12.0434
0.166,1.69727,0.904502,12.0535
0.167,1.70384,0.910242,12.0636
0.168,1.71037,0.915985,12.0737
0.169,1.71687,0.92173,12.0838
0.17,1.72333,0.927477,12.0938
0.171,1.72977,0.933226,12.1038
0.172,1.73617,0.938977,12.1138
0.173,1.74253,0.944729,12.1238
0.174,1.74887,0.950484,12.1337
0.175,1.75517,0.95624,12.1437
0.176,1.76144,0.961998,12.1536
0.177,1.76767,0.967758,12.1634
0.178,1.77388,0.97352,12.1733
0.179,1.78005,0.979283,12.1831
0.18,1.78619,0.985049,12.1929
0.181,1.7923,0.990816,12.2027
0.182,1.79837,0.996585,12.2124
0.183,1.80442,1.00235,12.2222
0.184,1.81043,1.00813,12.2319
0.185,1.81641,1.0139,12.2416
0.186,1.82236,1.01968,12.2512
0.187,1.82828,1.02545,12.2609
0.188,1.83416,1.03123,12.2705
0.189,1.84002,1.03701,12.2801
0.19,1.84585,1.04279,12.2896
0.191,1.85164,1.04858,12.2992
0.192,1.85741,1.05436,12.3087
0.193,1.86314,1.06015,12.3182
0.194,1.86884,1.06594,12.3277
0.195,1.87452,1.07173,12.3372
0.196,1.88016,1.07752,12.3466
0.197,1.88577,1.08331,12.356
0.198,1.89135,1.0891,12.3654
0.199,1.89691,1.0949,12.3748
0.2,1.90243,1.10069,12.3841
0.201,1.90792,1.10649,12.3934
0.202,1.91339,1.11229,12.4027
0.203,1.91882,1.11809,12.412
0.204,1.92423,1.12389,12.4212
0.205,1.92961,1.12969,12.4305
0.206,1.93495,1.1355,12.4397
0.207,1.94027,1.1413,12.4489
0.208,1.94556,1.14711,12.458
0.209,1.95082,1.15292,12.4672
0.21,1.95606,1.15873,12.4763
0.211,1.96126,1.16454,12.4854
0.212,1.96644,1.17035,12.4945
0.213,1.97158,1.17616,12.5035
0.214,1.9767,1.18197,12.5125
