#Projectile Motion Simulation Data
#Validation Type: With Magnus Effect
#Initial Position (m): (0, 0, 5)
#Initial Velocity (m/s): (4, 4, 10)
#Initial Spin (rad/s): (-50, -100, 100)
#Diameter (m): 0.04
#Mass (kg): 0.0027
#Drag Coefficient: 0.5
#Air Density (kg/m^3): 1.27
#Final Time (s): 2.343
#Final Position (m): (3.61747, 4.70591, 0.00373063)

Time,X,Y,Z
0,0,0,5
0.001,0.00396862,0.00401455,5.00999
0.002,0.00787453,0.00805799,5.01996
0.003,0.0117178,0.01213,5.02991
0.004,0.0154986,0.0162302,5.03985
0.005,0.0192168,0.0203584,5.04976
0.006,0.0228728,0.0245142,5.05965
0.007,0.0264664,0.0286973,5.06953
0.008,0.0299979,0.0329073,5.07938
0.009,0.0334673,0.037144,5.08921
0.01,0.0368747,0.0414071,5.09902
0.011,0.0402201,0.0456961,5.10881
0.012,0.0435038,0.0500109,5.11858
0.013,0.0467258,0.054351,5.12833
0.014,0.0498862,0.0587163,5.13805
0.015,0.052985,0.0631063,5.14776
0.016,0.0560225,0.0675207,5.15744
0.017,0.0589986,0.0719593,5.1671
0.018,0.0619136,0.0764217,5.17673
0.019,0.0647675,0.0809076,5.18634
0.02,0.0675604,0.0854168,5.19593
0.021,0.0702925,0.0899488,5.2055
0.022,0.0729638,0.0945034,5.21504
0.023,0.0755744,0.0990803,5.22456
0.024,0.0781246,0.103679,5.23406
0.025,0.0806143,0.1083,5.24353
0.026,0.0830437,0.112942,5.25298
0.027,0.085413,0.117604,5.2624
0.028,0.0877222,0.122288,5.2718
0.029,0.0899715,0.126992,5.28117
0.03,0.0921609,0.131716,5.29052
0.031,0.0942907,0.136461,5.29984
0.032,0.0963609,0.141224,5.30914
0.033,0.0983717,0.146007,5.31841
0.034,0.100323,0.150809,5.32765
0.035,0.102215,0.155629,5.33687
0.036,0.104049,0.160468,5.34606
0.037,0.105823,0.165325,5.35523
0.038,0.107539,0.170199,5.36437
0.039,0.109195,0.175091,5.37348
0.04,0.110794,0.18,5.38257
0.041,0.112334,0.184926,5.39162
0.042,0.113816,0.189868,5.40065
0.043,0.115239,0.194827,5.40966
0.044,0.116605,0.199801,5.41863
0.045,0.117913,0.204792,5.42758
0.046,0.119163,0.209797,5.43649
0.047,0.120356,0.214818,5.44538
0.048,0.121491,0.219853,5.45424
0.049,0.122569,0.224903,5.46308
0.05,0.12359,0.229967,5.47188
0.051,0.124554,0.235045,5.48065
0.052,0.125462,0.240137,5.4894
0.053,0.126312,0.245242,5.49811
0.054,0.127107,0.25036,5.5068
0.055,0.127844,0.255491,5.51545
0.056,0.128526,0.260634,5.52408
0.057,0.129152,0.26579,5.53267
0.058,0.129722,0.270957,5.54123
0.059,0.130236,0.276136,5.54977
0.06,0.130695,0.281326,5.55827
0.061,0.131098,0.286527,5.56674
0.062,0.131446,0.29174,5.57518
0.063,0.131739,0.296962,5.58359
0.064,0.131977,0.302195,5.59197
0.065,0.132161,0.307438,5.60031
0.066,0.13229,0.31269,5.60863
0.067,0.132364,0.317952,5.61691
0.068,0.132384,0.323223,5.62516
0.069,0.132351,0.328502,5.63338
0.07,0.132263,0.333791,5.64156
0.071,0.132122,0.339087,5.64972
0.072,0.131927,0.344391,5.65784
